,seq,x,y,orient_x,orient_y,orient_z,orient_w,linear_x,linear_y,angular_z
86,86.0,-9.748483231767224,11.089399466758334,0.0,,,,1.1556975141206822,-0.025926402352413936,-0.06615186460747297
87,87.0,-9.743734911482955,11.099958075558636,0.0,,,,1.1590223299740072,-0.031542338257896735,-0.06615186460747297
88,88.0,-9.6778517134288,11.163484954971219,0.0,,,,1.2214693837400732,-0.06216483994980186,-0.07097745682307928
89,89.0,-9.627568298179197,11.206797453066649,0.0,,,,1.2450346264104908,-0.07974146153764204,-0.056297763548700364
90,90.0,-9.60465211397153,11.249671196998332,0.0,,,,1.245866016756007,-0.09647153930910064,-0.07683513007991578
91,91.0,-9.617984286599018,11.40147930626613,0.0,,,,1.256513311672218,-0.0991229720396682,-0.03942834725289835
92,92.0,-9.612036833803229,11.412614362813274,0.0,,,,1.2600219727716855,-0.10463503344383518,-0.03942834725289835
93,93.0,-9.608091291076812,11.421224935712138,0.0,,,,1.250079323772551,-0.10655754383528879,-0.035175463296605446
94,94.0,-9.598716553050822,11.547972938623737,0.0,,,,1.288294805040399,-0.1256065656537123,-0.06169794502204072
95,95.0,-9.574142858867377,11.600894024908287,0.0,,,,1.339970790258669,-0.13727258462868092,-0.04514038986163427
96,96.0,-9.567724630896503,11.61276062859657,0.0,,,,1.343688384817469,-0.14267520919303894,-0.04514038986163427
97,97.0,-9.359086008454097,11.598323389515365,0.0,,,,1.28652899442722,-0.18040027243982007,-0.06467564761085356
98,98.0,-9.332793940353595,11.636672140601016,0.0,,,,1.2892892131482707,-0.18847788691119258,-0.021927583020196574
99,99.0,-9.299993965075998,11.686438542751489,0.0,,,,1.3272900258458782,-0.19737438698700116,-0.03916545194773592
100,100.0,-9.16071844185132,11.46982319356837,0.0,,,,1.3234498379392108,-0.2327072738294372,-0.03877805469895244
101,101.0,-9.059528684963972,11.305220645145681,0.0,,,,1.3671841893756118,-0.24419383426836558,-0.0293440126086454
102,102.0,-9.018135825758366,11.339882751785641,0.0,,,,1.377291736356609,-0.24955762766059802,-0.023149842138309888
103,103.0,-9.055887414769176,11.339928215170653,0.0,,,,1.3511977818241296,-0.2496799214936661,-0.0682615545359073
104,104.0,-9.044987876427648,11.348330037216623,0.0,,,,1.3545348882467967,-0.2549315212370814,-0.0682615545359073
105,105.0,-8.98751748098318,11.402687032041616,0.0,,,,1.4259128896029745,-0.26237591928181664,-0.06743820805786263
106,106.0,-8.828180282722476,11.43325704297614,0.0,,,,1.47999656725343,-0.28273934041791554,-0.04662176569701619
107,107.0,-8.815594418355472,11.441583794502442,0.0,,,,1.4837775416724155,-0.2878690586408021,-0.04662176569701619
108,108.0,-8.785577273996566,11.464076094299191,0.0,,,,1.4697193479350705,-0.28335398402693907,-0.05228293964255123
109,109.0,-8.864142442721993,11.469079000650082,0.0,,,,1.5292440870623776,-0.2857225580572936,-0.05420843824093894
110,110.0,-8.851470667302184,11.478144585543816,0.0,,,,1.5331235944294674,-0.2906914021997668,-0.05420843824093894
111,111.0,-8.842146449753677,11.490914060451807,0.0,,,,1.549330167383131,-0.27551835674190683,-0.07741307260283892
112,112.0,-8.63668815858535,11.452161842970003,0.0,,,,1.5666504197425335,-0.3093645396461968,-0.06074885728931909
113,113.0,-8.59493718860733,11.4769266528854,0.0,,,,1.5440641165817435,-0.3055191351819028,-0.02318447127167071
114,114.0,-8.581115001693178,11.484503642969688,0.0,,,,1.5477512692383792,-0.31029156064285807,-0.02318447127167071
115,115.0,-8.52372358389783,11.421085046236295,0.0,,,,1.4835111849551148,-0.30687982905934014,-0.020472888912152702
116,116.0,-8.482728414271302,11.441301176545789,0.0,,,,1.4583017292286495,-0.30300010418316997,-0.04648722048044558
117,117.0,-8.414422027534153,11.48628300884154,0.0,,,,1.5533573746207112,-0.3003394923931252,-0.02587068428926145
118,118.0,-8.219752763013103,11.092151235720438,0.0,,,,1.55022830327002,-0.3387495148572532,-0.02565076074758079
119,119.0,-8.098649164216933,10.801329088255333,0.0,,,,1.5534295819104509,-0.3420088615458238,-0.06263496853578614
120,120.0,-8.035521120819645,10.806322528329817,0.0,,,,1.5825943106335993,-0.3368661424667612,-0.05519561193205422
121,121.0,-8.016256485337358,10.852239728149778,0.0,,,,1.5584604232244208,-0.3283435015343495,-0.02403022719438944
122,122.0,-8.00031425328119,10.852653687531626,0.0,,,,1.5617982298054525,-0.3327396628973351,-0.02403022719438944
123,123.0,-7.929752794838737,10.855641416952794,0.0,,,,1.5592089323483898,-0.3305502014335208,-0.04357279802070027
124,124.0,-7.776537925426285,10.739146087658495,0.0,,,,1.5742250139131868,-0.34198286333643724,-0.05984367000007443
125,125.0,-7.760448860312309,10.738002209102836,0.0,,,,1.5774457240853557,-0.3462253427447373,-0.05984367000007443
126,126.0,-7.728376639845376,10.732926026629995,0.0,,,,1.5283632731626888,-0.3351839405878156,-0.021586253109733153
127,127.0,-7.5904780638696465,10.824052295246057,0.0,,,,1.5473169921080752,-0.33825339105879637,-0.012626847214976065
128,128.0,-7.5746307294893205,10.823488809950515,0.0,,,,1.5502689528112974,-0.34232152725918025,-0.012626847214976065
129,129.0,-7.563429304207977,10.827455380251124,0.0,,,,1.5577498247278136,-0.3222662673037223,-0.010652682186283662
130,130.0,-7.4381444511708406,10.67875771460015,0.0,,,,1.5864362642653247,-0.34146971918467955,-0.04427902687393306
131,131.0,-7.422031513779366,10.676678549077037,0.0,,,,1.589441473826354,-0.34539840415278045,-0.04427902687393306
132,132.0,-7.4319803638607524,10.675107500237882,0.0,,,,1.5067725335226803,-0.31475675746477727,-0.0361675900147527
133,133.0,-7.326173653287556,10.612222911229049,0.0,,,,1.514932081317538,-0.32448707301237917,-0.007520424619826239
134,134.0,-7.261331496543134,10.608152957704016,0.0,,,,1.5507886597614866,-0.31585839628127643,0.00060352355956148
135,135.0,-7.188754328048333,10.604167595125958,0.0,,,,1.5969346058401646,-0.3083106988821492,-0.00272423048467383
136,136.0,-7.125889905422609,10.643866631934653,0.0,,,,1.5736442379724365,-0.30334968744666574,-0.005750124784784601
137,137.0,-7.109987180613429,10.641753235414386,0.0,,,,1.5763146279879077,-0.30680045071070194,-0.005750124784784601
138,138.0,-7.09955906639187,10.641861431588039,0.0,,,,1.5719197033270322,-0.29905537272815386,-0.0009715767564965373
139,139.0,-6.982245959900968,10.430624304888624,0.0,,,,1.6031008620960265,-0.31928914756529553,0.03987340127185696
140,140.0,-6.966381609024488,10.426618073491655,0.0,,,,1.605789385454327,-0.32267979927035517,0.03987340127185696
141,141.0,-6.901687610854757,10.41277391300492,0.0,,,,1.583635948404599,-0.30480170913145155,-0.0340467498987421
142,142.0,-6.949390605194995,10.557565905791483,0.0,,,,1.5762046506740373,-0.28257082350637164,-0.02313307494423657
143,143.0,-6.893375755698985,10.55113286287273,0.0,,,,1.5735685356613318,-0.2744478183980267,-0.050600298205224006
144,144.0,-6.859602701330774,10.548112641354768,0.0,,,,1.5885339520808202,-0.2707554295000415,-0.043450020904025374
145,145.0,-6.658164086131473,10.693627195251105,0.0,,,,1.6649533412627697,-0.2659790203071663,-0.035366918657910834
146,146.0,-6.641329073588708,10.692445006461536,0.0,,,,1.6676968870242987,-0.26885848947236013,-0.035366918657910834
147,147.0,-6.569687486585574,10.690910886182754,0.0,,,,1.6475597476062245,-0.2629624491942194,0.016160075524376667
148,148.0,-6.50087174238887,10.764907346263577,0.0,,,,1.6576042899387293,-0.2505965385402016,-0.003904259760085132
149,149.0,-6.484099210483193,10.764437423229197,0.0,,,,1.6601735028821227,-0.2532850793724667,-0.003904259760085132
150,150.0,-6.42346780507612,10.76521509643169,0.0,,,,1.6133132444205271,-0.2472172854620437,-0.0008645456536724655
151,151.0,-6.363093509236697,10.816945521510906,0.0,,,,1.578726736440064,-0.23681808715657116,-0.004244934127257441
152,152.0,-6.289310741483428,10.820848176974055,0.0,,,,1.6319533437116238,-0.22943303537923423,0.005760380287276561
153,153.0,-6.272817723082349,10.820842015792481,0.0,,,,1.6342339789856173,-0.2318782809690745,0.005760380287276561
154,154.0,-6.206057356346722,10.677071653916887,0.0,,,,1.6733398995576854,-0.237299159034747,0.03393452580566203
155,155.0,-6.166960125545605,10.677668158318296,0.0,,,,1.7079519061818742,-0.22546570283915165,-0.039113620831805036
156,156.0,-6.11325405616468,10.675436576903762,0.0,,,,1.6735586865872367,-0.21907302647116875,0.009218844564234404
157,157.0,-6.060086327369736,10.658914359455336,0.0,,,,1.682035833266412,-0.2288363463669964,0.009211983963559984
158,158.0,-6.00029674350151,10.64708610877872,0.0,,,,1.6132138374811138,-0.21122204045760684,-0.020174493247114095
159,159.0,-5.937717307688066,10.699146160675008,0.0,,,,1.6387866955916668,-0.20354433109553338,0.024879531419709795
160,160.0,-5.921223857608407,10.69812478169604,0.0,,,,1.640796817631258,-0.20562116323640947,0.024879531419709795
161,161.0,-5.883099985425466,10.697505225725509,0.0,,,,1.6055535834010215,-0.19752482484790415,0.025455039866763608
162,162.0,-5.8207594196889945,10.692818866638763,0.0,,,,1.6302175765720535,-0.19855722791081548,-0.001438148046853809
163,163.0,-5.804361051200369,10.69174903920324,0.0,,,,1.6321066557712023,-0.2005435066000419,-0.001438148046853809
164,164.0,-5.800235024481813,10.693264411885837,0.0,,,,1.5987874706892962,-0.1885571101924183,0.007380186468007062
165,165.0,-5.625000083658031,10.596237016300318,0.0,,,,1.586187399323824,-0.19836689440206756,0.034736231437619655
166,166.0,-5.609106724944109,10.594441885523992,0.0,,,,1.5877598970930102,-0.20027127249803833,0.034736231437619655
167,167.0,-5.548341480247374,10.588711845539345,0.0,,,,1.5404703738177883,-0.19457390612042125,0.04771864145432656
168,168.0,-5.535250168730136,10.529818903777729,0.0,,,,1.4956675120353409,-0.19107902841244048,0.06824207929424579
169,169.0,-5.470963948832887,10.52455296139435,0.0,,,,1.5255887775743107,-0.1841171317053197,0.06527610574891436
170,170.0,-5.455730314241723,10.522484102292285,0.0,,,,1.5267661781510846,-0.1858575402806207,0.06527610574891436
171,171.0,-5.521830635226389,10.251287526333106,0.0,,,,1.5360140651106404,-0.1974726883602329,0.041300698456329506
172,172.0,-5.614755530186983,10.064436677757335,0.0,,,,1.5346653743235492,-0.19671599162554818,0.03953508020413278
173,173.0,-5.56982487486244,10.044247867447924,0.0,,,,1.495689022003978,-0.19016565874526994,-0.0007419959638060077
174,174.0,-5.56778355332588,10.063994541573654,0.0,,,,1.4947255755037783,-0.1926017016660948,-0.0008026636617077568
175,175.0,-5.590292192700585,10.088422636431222,0.0,,,,1.4840282838326861,-0.17908174362843268,0.003404629582244755
176,176.0,-5.494161574644525,10.058538952049783,0.0,,,,1.5301930714403948,-0.17008308945957817,-0.015188766604347616
177,177.0,-5.4539626285654075,10.070551129124043,0.0,,,,1.537075126938087,-0.16569203561882948,-0.021378251874016548
178,178.0,-5.42377790715671,10.062170050839915,0.0,,,,1.5522571332070985,-0.16266305860146604,0.03878822880478386
179,179.0,-5.393862138318153,10.053025298140737,0.0,,,,1.555639875038256,-0.16000804515558675,0.04242342854596753
180,180.0,-5.311237806842644,10.135929065793633,0.0,,,,1.5603520343475241,-0.15873900612608968,0.04240988981963299
181,181.0,-5.312594329501309,10.219270741268494,0.0,,,,1.4760489871791245,-0.13851965422873122,0.06348164603909197
182,182.0,-5.142268218596673,10.230336473294438,0.0,,,,1.512190632584195,-0.13681908383669697,0.03995137277811858
183,183.0,-5.127359279376398,10.22743463522945,0.0,,,,1.5130894490153235,-0.13807315149750526,0.03995137277811858
184,184.0,-5.036466717440922,10.21348308307167,0.0,,,,1.5593822783412983,-0.12940273921389475,0.03638032738859726
185,185.0,-4.965903209071276,10.30834783489192,0.0,,,,1.5512580814289574,-0.11836350704071556,0.0429889174427637
186,186.0,-4.93886967794702,10.30582510834983,0.0,,,,1.5473775561552015,-0.11615742872362492,0.030606458814552616
187,187.0,-4.907090025182753,10.302965077851528,0.0,,,,1.549971422826317,-0.11421393869677832,0.04867103344400629
188,188.0,-4.735126755519847,10.168257215941049,0.0,,,,1.624685938375769,-0.12423091681021634,-0.006954832055601231
189,189.0,-4.719097655504976,10.16528979835907,0.0,,,,1.626040008936184,-0.12533949644940484,-0.006954832055601231
190,190.0,-4.712539901465171,10.165242749627678,0.0,,,,1.6008197040428038,-0.11766596780061947,-0.036886393466545486
191,191.0,-4.546563689348033,10.284100297164992,0.0,,,,1.5909141517067116,-0.10604428397599125,-0.032215572265698864
192,192.0,-4.467588811220482,10.380655505580467,0.0,,,,1.6524816477869815,-0.09258612712483379,0.016288165115578762
193,193.0,-4.451042132408261,10.380041378668446,0.0,,,,1.653900508282048,-0.09349530983907593,0.016288165115578762
194,194.0,-4.356833108806041,10.496120321918646,0.0,,,,1.6207634225426069,-0.08224141021447234,0.04961365880928963
195,195.0,-4.322696024526818,10.501166397979663,0.0,,,,1.5257127865910538,-0.07951058363100173,0.037648214574488414
196,196.0,-4.280855917849596,10.505271392887469,0.0,,,,1.462068729262804,-0.07706066314523666,0.034145008538251545
197,197.0,-4.185896755565921,10.477999351480575,0.0,,,,1.5152718064956567,-0.07927637195638707,0.10001735032469573
198,198.0,-4.170724414683259,10.478367858919796,0.0,,,,1.5159064154452628,-0.08005852858066921,0.10001735032469573
199,199.0,-4.165232465070287,10.479438068001247,0.0,,,,1.4932612530449465,-0.0778670259998494,0.09238512003019667
200,200.0,-3.9877498258365365,10.261641330131749,0.0,,,,1.53467773493126,-0.0991215432723109,0.12031111410647238
201,201.0,-3.914075454892133,10.09936495216037,0.0,,,,1.5617702597262932,-0.10754866905855467,0.04622215591590932
202,202.0,-3.89867543993617,10.096528407034935,0.0,,,,1.562587828989922,-0.10842468386719953,0.04622215591590932
203,203.0,-3.895054590283481,10.156503460325807,0.0,,,,1.6163008687605365,-0.09402729683402383,0.11698870121742168
204,204.0,-3.8547097373807753,10.150817318458936,0.0,,,,1.5485062177750424,-0.0904051207165029,0.07954014184502947
205,205.0,-3.7605912282017253,10.142173516580513,0.0,,,,1.6601986475919155,-0.08697632628725573,0.06232741139757922
206,206.0,-3.797998556403882,10.08711414415973,0.0,,,,1.6592630730631202,-0.08871379823190415,0.06062959329023671
207,207.0,-3.7815737537805005,10.084556538807883,0.0,,,,1.6605073554981065,-0.08945397596781615,0.06062959329023671
